type,x,y,size,label
sound,0.4263888888888889,0.7223684210526315,1,piano1_Juliette_5
sound,0.19523809523809524,0.612719298245614,1,piano1_Juliette_3
sound,0.37182539682539684,0.3714912280701754,1,piano1_Juliette_7
sound,0.5007936507936508,0.5776315789473684,1,guitare1_Arthur1
sound,0.12876984126984128,0.2486842105263158,1,piano1_Juliette_1
sound,0.13670634920634922,0.4679824561403509,1,piano1_Juliette_2
sound,0.2775793650793651,0.5052631578947369,1,piano1_Juliette_4
sound,0.8192460317460317,0.5337719298245615,1,piano1_Juliette_6
sound,0.6267857142857143,0.25087719298245614,1,piano2_Helene_1
sound,0.39861111111111114,0.518421052631579,1,piano2_Helene_2
sound,0.28650793650793654,0.6763157894736842,1,piano2_Helene_3
sound,0.586111111111111,0.5030701754385966,1,piano2_Helene_4
sound,0.7279761904761904,0.4986842105263158,1,piano2_Helene_5
sound,0.5285714285714286,0.41096491228070176,1,piano2_Helene_6
sound,0.650595238095238,0.4197368421052632,1,piano2_Helene_7
